Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O49048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O49133,0,0,0,0,0,2,3,5,0,0,0,0,0,0
O49160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O49286,0,4,0,0,2,1,0,3,0,0,0,0,0,0
O49290,0,0,2,0,0,0,0,1,0,0,0,0,0,0
O49377,1,0,7,51,74,44,54,42,0,0,0,0,0,0
O49453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O49562,0,2,0,3,8,5,0,2,0,0,0,0,0,0
O49595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O49668,3,0,3,1,6,0,2,8,0,0,0,0,0,0
O49707,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O49839,11,17,13,269,223,208,101,218,0,0,0,0,0,0
O49856,0,4,0,0,1,0,0,0,0,0,0,0,0,0
O49923,48,75,45,273,337,210,143,211,0,0,0,0,0,0
O49954,7,8,17,547,986,789,627,962,0,0,0,0,0,0
O50310,27,0,1,1,2,1,0,1,0,0,1,0,0,0
O50314,0,9,3,5,4,6,8,31,0,0,0,0,0,0
O51081,0,0,0,14,8,7,9,5,0,0,0,4,0,0
O51669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O51889,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O52025,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O52065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O52402,414.255,603.436,442.535,8.555,4.168,6.524,6.817,8.25,0,3,0,0,0,0
O52538,267,252,296,356,568,382,250,454,0,0,4,0,0,0
O53521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O53532,82,101,86,22,30,14,2,25,0,0,0,0,0,0
O53732,0,0,0,0,0,0,0,0,1,3,0,0,1,0
O53873,7,0,8,0,0,0,0,0,0,0,0,0,0,0
O53901,0,3.153,0,0,0,0,0,1.034,0,0,0,0,0,0
O54408,2,0,0,0,0,6,0,3,0,0,0,0,0,0
O54698,5,10,8,0,4,2,0,3,0,0,0,0,0,0
O54701,4,4,4,7,10,3,2,2,0,0,0,2,0,0
O54783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O54784,6,14,5,19,34,49,30,59,0,0,0,0,0,0
O54852,6,9,7,0,2,1,0,5,0,0,0,0,0,0
O54853,130,116,75,20,59,38,16,72,0,0,0,0,0,0
O54865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O54873,2,1,0,0,3,3,2,0,0,0,0,0,0,0
O54879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O54898,324,436,280,474,1043,866,514,1219,0,0,0,0,0,0
O55028,0,1,0,0,1,0,0,0,0,0,0,0,0,0
O55029,1,7,0,7,4,1,1,4,0,0,0,0,0,0
O55082,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O55230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O57429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O57476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O57483,82.678,79.589,42,24,19,17,16,46.561,0,0,0,0,0,0
O57656,13,5,11,18,38,67,35,56,0,0,2,0,0,0
O58058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
