"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"P49199",437,172,95,136,3,1,31,39,0,3,2,1,2,12,660,221,312,38,0,1805,1763,729,1399,433,0,0,0,0,0,0,0,48,15,30,43,622,906,802,1327,510
"P49210",1700,288,91,200,4,0,488,532,2,7,2,6,15,39,833,270,336,3,0,2645,2338,1269,1873,416,0,0,7,0,0,0,0,96,71,75,50,4287,5921,4088,7245,2503
"P49215",2604,124,33,79,1,0,77,243,4,131,220,93,131,39,454,285,331,15,0,3720,3173,1501,2588,429,0,0,0,0,0,0,0,98,927,1000,647,1827,2653,1840,3353,1200
"P49397",188,86,68,87,1,0,31,40,413,801,1037,853,1118,7,1455,511,407,18,0,3423,3172,1409,2614,377,0,0,0,0,0,0,0,236,1947,2216,1639,3345,4419,3456,5822,2782
"P49471",4,1478,3402,2617,644,3,914,2766,1355,2724,691,4188,2559,12,2,1,1,159,0,1240,1410,601,453,196,0,223,703,1473,534,546,0,0,101,319,164,2516,9019,17654,6842,8202
"P49472",2112,557,1575,1546,22,4,323,1645,1023,1785,368,1852,1374,14,1,1,1,103,0,53213,3511,1463,18295,415,0,0,31,70,9,20,0,17,61,125,154,1734,7187,21651,5315,6295
"P49481",176,232,59,179,5,1,301,297,546,1128,1679,1673,1814,10,512,288,260,11,0,8031,7131,3023,4271,734,0,0,0,0,0,1,0,362,1573,2248,1735,4990,8700,6855,7182,4905
"P49964",2,16,12,35,0,0,1,1,0,0,0,0,0,0,39,23,24,4,0,30,16,5,11,7,0,0,0,0,0,0,0,42,1,0,4,8,14,10,3,1
"P49972",10,38,40,86,4,0,11,16,1,4,9,12,2,0,3,1,1,16,0,175,157,61,47,18,0,0,0,0,0,0,0,18,0,0,20,139,183,214,146,194
"P50107",34,41,25,95,0,0,1,4,2,1,1,9,6,5,4,4,0,4,0,148,142,66,61,16,0,0,0,0,0,0,0,32,6,6,21,14,14,7,26,20
